측정소명,년/월/일,DO(㎎/L),BOD(㎎/L),COD(㎎/L),TP(㎎/L),수온(℃),TN(㎎/L),SS(㎎/L)
노량진,2025/11/24,11.1,1.3,4.0,0.046,,5.266,
노량진,2024/06/27,8.6,1.9,4.1,0.048,,3.186,
노량진,2026/03/06,11.8,3.6,5.6,0.075,,6.038,
노량진,2023/11/16,10.4,0.9,3.8,0.048,,4.448,
노량진,2025/07/03,9.8,3.9,5.8,0.088,,3.996,
노량진,2023/09/25,8.9,0.8,4.4,0.102,,2.744,
노량진,2024/12/16,12.5,1.4,3.9,0.036,,5.228,
노량진,2024/02/05,13.6,1.9,4.4,0.046,,5.762,
노량진,2025/01/20,12.8,1.6,3.7,0.032,,5.47,
노량진,2023/09/07,9.4,1.9,4.1,0.054,,2.792,
노량진,2024/01/04,13.0,1.5,3.9,0.044,,5.116,
노량진,2025/05/09,9.9,2.5,4.4,0.058,,2.914,
노량진,2026/04/09,10.9,2.4,4.4,0.084,,3.392,
노량진,2024/10/17,9.1,1.4,4.4,0.14,,4.12,
노량진,2026/02/02,13.5,2.0,4.4,0.035,,6.016,
노량진,2024/10/11,8.7,1.6,3.9,0.074,,5.05,
노량진,2023/11/07,9.3,2.8,3.9,0.102,,2.878,
노량진,2024/10/28,8.9,1.0,4.0,0.116,,3.366,
노량진,2025/11/18,11.1,1.2,3.6,0.04,,4.102,
노량진,2024/01/29,14.7,1.8,4.4,0.036,,5.364,
노량진,2024/01/22,15.2,2.4,4.7,0.05,,5.246,
노량진,2025/07/10,8.4,2.6,5.4,0.086,,3.398,
노량진,2024/03/14,12.9,4.8,5.3,0.112,,4.6,
노량진,2025/10/10,,,,,,,
노량진,2024/07/25,9.2,1.2,4.6,0.54,,3.59,
노량진,2023/12/07,12.6,1.8,4.4,0.048,,4.638,
노량진,2024/09/27,8.5,1.0,4.3,0.124,,3.254,
노량진,2026/01/05,13.2,1.9,4.0,0.034,,4.99,
노량진,2025/01/27,,,,,,,
노량진,2023/09/21,8.1,1.4,3.5,0.076,,2.298,
노량진,2026/02/09,14.1,2.3,4.6,0.044,,5.702,
노량진,2024/05/14,10.8,1.6,4.3,0.052,,2.574,
노량진,2025/10/16,9.3,2.1,4.2,0.13,,3.306,
노량진,2024/01/08,13.1,1.0,3.7,0.038,,5.51,
보광,2024/10/15,8.5,1.4,5.6,0.062,,4.352,
보광,2025/02/12,,,,,,,
보광,2025/10/21,10.4,0.7,3.0,0.054,,2.899,
보광,2025/09/09,8.8,1.4,3.1,0.02,,2.854,
보광,2024/03/19,10.3,2.0,5.1,0.051,,3.496,
보광,2025/07/02,9.0,3.3,5.5,0.056,,4.196,
보광,2025/04/16,9.6,3.2,4.3,0.041,,4.026,
보광,2024/07/24,7.4,1.7,4.2,0.104,,2.87,
보광,2026/03/19,10.3,3.5,4.6,0.082,,5.376,
보광,2024/04/23,9.1,2.5,5.3,0.072,,4.782,
보광,2023/07/27,8.5,1.2,3.9,0.083,,2.642,
보광,2023/11/08,10.7,0.5,3.3,0.026,,2.243,
보광,2024/11/12,9.7,1.6,3.5,0.05,,4.258,
보광,2024/12/10,12.2,1.8,4.4,0.054,,4.105,
보광,2023/12/12,11.6,1.4,5.2,0.023,,3.9,
보광,2024/08/13,8.2,1.8,4.7,0.04,,2.506,
보광,2024/06/11,8.8,1.7,4.2,0.045,,3.056,
보광,2023/08/08,8.0,1.3,3.6,0.016,,1.708,
보광,2023/09/12,8.8,1.2,4.3,0.021,,2.391,
보광,2026/01/14,,,,,,,
보광,2023/10/17,9.5,1.7,3.3,0.051,,3.823,
보광,2025/12/09,13.5,1.7,3.9,0.027,,4.112,
보광,2025/06/17,6.4,3.8,4.9,0.093,,3.869,
보광,2026/02/04,11.4,1.9,4.5,0.035,,5.764,
보광,2025/05/21,9.2,2.8,4.1,0.078,,4.014,
보광,2025/01/14,12.1,2.0,4.1,0.031,,4.232,
보광,2025/08/25,7.9,1.5,4.6,0.06,,4.091,
보광,2024/01/16,12.4,1.7,5.1,0.036,,4.278,
보광,2025/03/11,11.0,4.7,5.6,0.047,,5.992,
보광,2026/04/15,9.9,2.5,4.5,0.031,,3.253,
보광,2024/02/20,10.3,5.0,5.5,0.074,,3.486,
보광,2024/05/21,8.0,2.8,5.4,0.082,,5.177,
보광,2024/09/11,9.3,2.1,5.7,0.037,,2.497,
보광,2025/11/11,9.8,1.4,4.0,0.062,,5.791,
성내천,2024/10/10,11.1,0.5,3.8,0.062,,2.333,
성내천,2025/02/06,12.2,0.9,2.6,0.017,,3.344,
성내천,2025/10/15,4.4,1.6,4.5,0.214,,3.586,
성내천,2025/09/09,4.7,1.8,4.2,0.167,,2.256,
성내천,2024/03/06,12.4,3.6,3.3,0.045,,2.979,
성내천,2025/07/03,4.0,1.7,5.7,0.087,,1.652,
성내천,2025/04/03,10.3,1.5,3.8,0.046,,2.682,
성내천,2024/07/04,5.0,1.7,4.3,0.182,,2.02,
성내천,2026/03/05,10.9,2.2,5.0,0.077,,2.973,
성내천,2024/04/04,8.7,2.8,4.5,0.065,,2.486,
성내천,2023/07/06,5.3,1.9,4.9,0.286,,2.743,
성내천,2023/11/02,8.6,1.5,3.3,0.043,,2.154,
성내천,2024/11/07,10.2,1.1,3.3,0.049,,2.593,
성내천,2024/12/11,11.6,1.3,3.8,0.063,,3.285,
성내천,2023/12/07,13.5,1.4,2.7,0.016,,2.976,
성내천,2024/08/13,7.3,2.7,4.9,0.116,,2.308,
성내천,2024/06/04,9.6,1.8,5.4,0.064,,1.962,
성내천,2023/08/03,9.1,2.5,3.8,0.163,,2.176,
성내천,2023/09/07,7.8,3.4,5.4,0.123,,2.278,
성내천,2026/01/07,11.2,1.5,3.7,0.079,,3.623,
성내천,2023/10/12,9.9,1.4,4.1,0.067,,1.73,
성내천,2025/12/09,11.9,1.7,3.3,0.033,,3.12,
성내천,2025/06/04,7.1,1.5,6.1,0.057,,1.997,
성내천,2026/02/05,11.3,1.9,3.6,0.044,,3.324,
성내천,2025/05/08,6.7,1.7,5.3,0.092,,2.388,
성내천,2025/01/08,13.3,1.4,2.6,0.013,,3.214,
성내천,2025/08/12,7.1,2.1,4.7,0.083,,2.022,
성내천,2024/01/04,13.3,1.4,2.6,0.036,,3.659,
성내천,2025/03/06,11.7,2.4,4.0,0.051,,3.302,
성내천,2026/04/02,8.3,2.3,5.8,0.16,,2.975,
성내천,2024/02/01,14.1,1.4,2.5,0.03,,3.154,
성내천,2024/05/02,8.9,2.4,3.7,0.092,,2.354,
성내천,2024/09/05,6.3,1.8,5.3,0.084,,1.914,
성내천,2025/11/06,8.5,1.8,2.5,0.07,,3.253,
영등포,2024/10/15,8.8,1.1,5.5,0.061,,3.829,
영등포,2025/02/12,,,,,,,
영등포,2025/10/21,10.4,0.7,3.0,0.068,,2.91,
영등포,2025/09/09,7.7,1.9,3.3,0.064,,2.855,
영등포,2024/03/19,11.3,2.3,5.6,0.049,,4.021,
영등포,2025/07/02,9.3,2.6,4.9,0.041,,2.53,
영등포,2025/04/16,9.2,2.8,4.7,0.056,,3.706,
영등포,2024/07/24,7.4,1.3,4.3,0.11,,2.482,
영등포,2026/03/19,10.7,2.3,4.4,0.039,,4.863,
영등포,2024/04/23,9.8,1.6,4.1,0.032,,2.522,
영등포,2023/07/27,8.3,1.1,3.6,0.065,,2.978,
영등포,2023/11/08,9.7,0.7,3.7,0.05,,2.277,
영등포,2024/11/12,10.3,1.9,4.0,0.059,,4.128,
영등포,2024/12/10,12.8,1.6,4.1,0.031,,3.724,
영등포,2023/12/12,12.0,1.1,4.7,0.01,,4.318,
영등포,2024/08/13,8.4,1.5,4.3,0.048,,2.579,
영등포,2024/06/11,9.3,1.8,4.4,0.026,,2.376,
영등포,2023/08/08,7.1,1.1,3.6,0.041,,2.671,
영등포,2023/09/12,9.4,1.4,4.8,0.033,,2.718,
영등포,2026/01/14,14.3,1.5,3.9,0.026,,5.347,
영등포,2023/10/17,10.0,1.4,3.4,0.033,,3.294,
영등포,2025/12/09,12.7,1.9,4.2,0.024,,4.553,
영등포,2025/06/17,6.9,3.5,4.1,0.077,,3.039,
영등포,2026/02/04,12.4,1.9,4.6,0.027,,5.664,
영등포,2025/05/21,9.8,1.5,3.5,0.032,,2.62,
영등포,2025/01/14,12.6,2.0,4.3,0.021,,4.69,
영등포,2025/08/25,6.6,1.7,4.5,0.126,,3.362,
영등포,2024/01/16,12.6,1.4,4.5,0.028,,4.816,
영등포,2025/03/11,11.9,4.0,5.0,0.045,,4.395,
영등포,2026/04/15,11.4,3.4,5.5,0.036,,3.561,
영등포,2024/02/20,10.8,2.8,5.0,0.04,,3.547,
영등포,2024/05/21,9.2,1.8,4.5,0.026,,2.318,
영등포,2024/09/11,8.8,1.9,6.1,0.04,,3.071,
영등포,2025/11/11,10.7,1.3,4.0,0.026,,3.779,
팔당댐2,2025/11/24,12.919999999999998,1.1600000000000001,3.2,0.0144,10.040000000000001,2.7338,3.0
팔당댐2,2024/06/24,8.559999999999999,1.7600000000000002,3.96,0.032600000000000004,20.7,1.6995999999999998,5.279999999999999
팔당댐2,2026/03/03,13.9,1.7600000000000002,3.46,0.0196,5.4399999999999995,2.9341999999999997,4.5600000000000005
팔당댐2,2023/11/13,9.379999999999999,0.74,3.34,0.0458,12.34,2.243,4.9799999999999995
팔당댐2,2025/06/30,8.48,2.4,5.319999999999999,0.041600000000000005,22.2,2.2514,5.64
팔당댐2,2023/09/25,9.34,0.5599999999999999,3.3600000000000003,0.051000000000000004,21.419999999999998,2.2824,5.2
팔당댐2,2024/12/16,12.78,0.8400000000000001,2.6399999999999997,0.019,5.380000000000001,2.8954,2.04
팔당댐2,2024/02/05,14.9,0.8,3.2,0.017,3.3,2.656,3.3
팔당댐2,2025/01/20,13.8,0.7,2.6,0.01,2.7,1.964,1.4
팔당댐2,2023/09/04,9.219999999999999,1.1,3.4,0.038400000000000004,22.82,2.1724,6.44
팔당댐2,2024/01/04,13.5,0.5,2.4,0.018,2.2,2.649,1.6
팔당댐2,2025/05/07,11.42,1.28,3.2399999999999998,0.021,14.36,2.1643999999999997,4.16
팔당댐2,2026/04/06,11.18,1.58,3.66,0.0252,11.540000000000001,2.641,4.1
팔당댐2,2024/10/14,10.36,1.48,3.6,0.0386,19.439999999999998,2.5006,9.620000000000001
팔당댐2,2026/02/02,14.3,0.9,2.7,0.042,1.5,2.835,1.2
팔당댐2,2024/10/07,9.2,1.42,3.6,0.040400000000000005,20.54,2.4844,5.74
팔당댐2,2023/11/07,8.92,0.58,3.22,0.032,15.86,2.0368,7.7
팔당댐2,2024/10/28,8.4,0.78,3.3600000000000003,0.0624,16.5,2.6168,5.88
팔당댐2,2025/11/17,12.16,0.9199999999999999,2.98,0.017,12.1,2.6125999999999996,4.18
팔당댐2,2024/01/29,14.0,0.8,2.9,0.033,2.6,2.471,1.8
팔당댐2,2024/01/22,13.7,0.9,2.7,0.017,2.6,3.128,2.4
팔당댐2,2025/07/07,6.8,1.48,3.46,0.0284,23.1,2.0212,3.1
팔당댐2,2024/03/11,13.14,1.1400000000000001,3.06,0.0198,5.92,2.8538,4.1
팔당댐2,2025/10/10,,,,,,,
팔당댐2,2024/07/22,8.48,0.9,3.44,0.067,21.7,2.6914000000000002,10.4
팔당댐2,2023/12/04,12.38,1.04,3.3,0.0262,5.7,2.4532,7.0
팔당댐2,2024/09/23,7.92,0.52,4.8,0.1426,21.479999999999997,2.5637999999999996,16.880000000000003
팔당댐2,2026/01/05,13.8,1.2,2.9,0.014,2.2,2.562,2.5
팔당댐2,2025/01/27,,,,,,,
팔당댐2,2023/09/18,8.540000000000001,0.78,3.3600000000000003,0.034999999999999996,23.14,1.8765999999999998,3.9799999999999995
팔당댐2,2026/02/09,14.9,0.9,2.7,0.011,2.2,2.547,1.1
팔당댐2,2024/05/13,10.879999999999999,1.98,4.3,0.0262,15.419999999999998,2.0528,5.4
팔당댐2,2025/10/13,9.8,0.64,2.82,0.0418,18.0,2.5588,6.0
팔당댐2,2024/01/08,13.8,0.6,2.7,0.023,2.0,3.254,2.5
